Hoshangabad|Darshan Singh Choudhary
Vidisha|Shivraj Singh Chauhan
Bhopal|Alok Sharma
Rajgarh|Rodmal Nagar
Mandsaur|Sudhir Gupta
Indore|Shankar Lalwani
Khandwa|Gyaneswar Patil
Dhule|Bachhav Shobha Dinesh
Jalgaon|Smita Wagh
Raver|Raksha Khadse
Buldhana|Prataprao Jadhav
Akola|Anup Dhotre
Wardha|Amar Kale
Nagpur|Nitin Gadkari
Bhandaraâ€“Gondiya|Prashant Padole
Chandrapur|Pratibha Dhanorkar
Yavatmalâ€“Washim|Sanjay Deshmukh
Hingoli|Nagesh Aashtikar Patil
Nanded|Vasantrao Balwantrao Chavan
Parbhani|Sanjay Jadhav
Jalna|Kalyan Kale
Aurangabad|Sandipanrao Bhumre
Nashik|Rajabhau Waje
Bhiwandi|Suresh Mhatre
Kalyan|Shrikant Shinde
Thane|Naresh Mhaske
Mumbai North|Piyush Goyal
Mumbai North West|Ravindra Waikar
Mumbai North East|Sanjay Dina Patil
Mumbai South|Arvind Sawant
Raigad|Sunil Tatkare
Maval|Shrirang Barne
Pune|Murlidhar Mohol
Baramati|Supriya Sule
Shirur|Amol Kolhe
Ahmednagar|Nilesh Lanke
Beed|Bajrang Sonwane
Osmanabad|Omprakash Rajenimbalkar
Madha|Dhairyasheel Mohite Patil
Sangli|Vishal Patil
Satara|Udayanraje Bhosale
Kolhapur|Chhatrapati Shahu Maharaj
Hatkanangle|Dhairyasheel Mane
Inner Manipur|Angomcha Bimol Akoijam
Nagaland|S. Supongmeren Jamir
Bargarh|Pradip Purohit
Sambalpur|Dharmendra Pradhan
Balasore|Pratap Chandra Sarangi
Dhenkanal|Rudra Narayan Pany
Bolangir|Sangeeta Kumari Singh Deo
Kalahandi|Malvika Devi
Kandhamal|Sukanta Kumar Panigrahi
Cuttack|Bhartruhari Mahtab
Kendrapara|Baijayant Panda
Puri|Sambit Patra
Bhubaneswar|Aparajita Sarangi
Aska|Anita Subhadarshini
Berhampur|Pradeep Kumar Panigrahy
Puducherry|V. Vaithilingam
Gurdaspur|Sukhjinder Singh Randhawa
Amritsar|Gurjeet Singh Aujla
Khadoor Sahib|Amritpal Singh
Anandpur Sahib|Malwinder Singh Kang
Ludhiana|Amrinder Singh Raja Warring
Firozpur|Sher Singh Ghubaya
Bathinda|Harsimrat Kaur Badal
Sangrur|Gurmeet Singh Meet Hayer
Patiala|Dharamvir Gandhi
Churu|Rahul Kaswan
Jhunjhunu|Brijendra Singh Ola
Sikar|Amra Ram
Jaipur Rural|Rao Rajendra Singh
Jaipur|Manju Sharma
Alwar|Bhupender Yadav
Ajmer|Bhagirath Chaudhary
Nagaur|Hanuman Beniwal
Pali|P. P. Chaudhary
Jodhpur|Gajendra Singh Shekhawat
Barmer|Ummeda Ram Beniwal
Jalore|Lumbaram Choudhary
Chittorgarh|Chandra Prakash Joshi
Rajsamand|Mahima Kumari Mewar
Bhilwara|Damodar Agarwal
Kota|Om Birla
Jhalawarâ€“Baran|Dushyant Singh
Sikkim|Indra Hang Subba
Chennai North|Kalanidhi Veeraswamy
Chennai South|Tamizhachi Thangapandian
Chennai Central|Dayanidhi Maran
Sriperumbudur|T.R. Baalu
Arakkonam|S. Jagathrakshakan
Vellore|D.M.K. Anand
Krishnagiri|K. Gopinath
Tiruvannamalai|C.N. Annadurai
Arani|M.S. Tharanivendhan
Kallakurichi|Malaiyarasan D
Salem|T. M. Selvaganapathi
Namakkal|V. S. Matheswaran
Erode|K. E. Prakash
Tiruppur|K. Subbarayan
Coimbatore|Ganapathi P. Raj Kumar
Pollachi|Eswarasamy
Dindigul|R. Sachidanandam
Karur|Jothimani
Tiruchirappalli|Durai Vaiyapuri
Perambalur|Arun Nehru
Cuddalore|M. K. Vishnu Prasad
Mayiladuthurai|Sudha Ramakrishnan
Thanjavur|S. Murasoli
Sivaganga|Karti Chidambaram
Madurai|S. Venkatesan
Theni|Thanga Tamil Selvan
Virudhunagar|Manickam Tagore
Ramanathapuram|Navas Kani
Thoothukkudi|Kanimozhi Karunanidhi
Tirunelveli|Robert Bruce
Kanniyakumari|Vijay Vasanth
Karimnagar|Bandi Sanjay Kumar
Nizamabad|Dharmapuri Arvind
Zahirabad|Suresh Shetkar
Medak|Raghunandan Rao
Malkajgiri|Etela Rajender
Secunderabad|G. Kishan Reddy
Hyderabad|Asaduddin Owaisi
Chevella|Konda Vishweshwar Reddy
Mahbubnagar|D. K. Aruna
Nalgonda|Raghuveer Reddy Kunduru
Bhongir|Chamala Kiran Kumar Reddy
Khammam|R. Raghuram Reddy
Tripura West|Biplab Kumar Deb
Saharanpur|Imran Masood
Kairana|Iqra Choudhary
Muzaffarnagar|Harendra Singh Malik
Bijnor|Chandan Chauhan
Moradabad|Ruchi Veera
Rampur|Mohibbullah Nadvi
Sambhal|Zia ur Rahman Barq
Amroha|Kanwar Singh Tanwar
Meerut|Arun Govil
Baghpat|Rajkumar Sangwan
Ghaziabad|Atul Garg
Gautam Buddha Nagar|Mahesh Sharma
Aligarh|Satish Kumar Gautam
Mathura|Hema Malini
Fatehpur Sikri|Rajkumar Chahar
Firozabad|Akshay Yadav
Mainpuri|Dimple Yadav
Etah|Devesh Shakya
Badaun|Aditya Yadav
